Epoch,chi_Mean_0.235,chi_Mean_0.94
297,-17.317718,-16.545096
298,-17.278752,-16.463357
299,-17.243594,-16.520658
300,-17.270464,-16.564461
301,-17.321784,-16.545058
302,-17.309381,-16.555255
303,-17.340570,-16.585342
304,-17.239646,-16.555391
305,-17.322465,-16.481460
306,-17.334637,-16.431998
307,-17.347989,-16.537579
308,-17.383974,-16.511962
309,-17.324979,-16.504871
310,-17.346977,-16.433499
311,-17.326019,-16.514590
312,-17.318724,-16.492612
313,-17.329685,-16.547604
314,-17.327388,-16.510975
315,-17.367576,-16.486945
316,-17.236975,-16.550702
317,-17.318567,-16.562623
318,-17.327889,-16.602671
319,-17.390293,-16.532796
320,-17.317327,-16.509769
321,-17.296085,-16.532040
322,-17.324161,-16.467593
323,-17.341531,-16.538889
324,-17.310973,-16.514646
325,-17.245159,-16.528989
326,-17.332660,-16.491885
327,-17.327651,-16.422889
328,-17.300800,-16.500888
329,-17.289096,-16.534504
330,-17.330347,-16.511079
331,-17.314227,-16.595325
332,-17.281266,-16.479780
333,-17.330147,-16.516755
334,-17.313381,-16.580215
335,-17.277399,-16.537546
336,-17.327214,-16.580995
337,-17.340861,-16.521393
338,-17.296661,-16.517165
339,-17.312993,-16.492258
340,-17.357129,-16.497321
341,-17.313011,-16.541709
342,-17.354387,-16.539954
343,-17.333776,-16.523755
344,-17.349547,-16.528073
345,-17.352100,-16.537134
346,-17.352536,-16.519917
347,-17.288966,-16.564893
348,-17.306542,-16.492536
349,-17.407987,-16.595417
350,-17.324191,-16.666934
351,-17.367394,-16.487110
352,-17.429004,-16.548937
353,-17.345310,-16.613197
354,-17.339129,-16.558000
355,-17.349787,-16.612866
356,-17.368108,-16.626252
357,-17.352335,-16.587850
358,-17.319218,-16.532527
359,-17.297476,-16.468156
360,-17.336717,-16.525255
361,-17.359403,-16.522922
362,-17.331387,-16.448232
363,-17.376942,-16.577700
364,-17.354929,-16.595687
365,-17.315345,-16.545284
366,-17.351591,-16.527044
367,-17.315004,-16.579838
368,-17.341766,-16.482655
369,-17.327353,-16.505386
370,-17.292954,-16.610313
371,-17.302254,-16.573227
372,-17.395869,-16.618728
373,-17.345963,-16.583983
374,-17.315253,-16.521523
375,-17.334612,-16.603529
376,-17.345970,-16.514881
377,-17.347996,-16.552224
378,-17.289751,-16.568041
379,-17.379880,-16.526295
380,-17.370867,-16.577479
381,-17.374440,-16.640917
382,-17.364331,-16.593529
383,-17.381781,-16.542291
384,-17.333429,-16.560781
385,-17.405783,-16.554129
386,-17.356257,-16.582549
387,-17.344153,-16.618605
388,-17.368775,-16.574797
389,-17.374577,-16.575079
390,-17.350823,-16.565126
391,-17.399733,-16.562238
392,-17.376627,-16.608336
393,-17.358909,-16.579917
394,-17.394344,-16.603082
395,-17.346555,-16.658797
396,-17.340076,-16.625660
397,-17.431101,-16.638842
398,-17.366860,-16.623478
399,-17.333919,-16.659833
400,-17.357691,-16.656889
401,-17.332922,-16.655001
402,-17.355116,-16.556806
403,-17.354253,-16.659731
404,-17.401305,-16.599268
405,-17.396605,-16.642059
406,-17.416043,-16.578344
407,-17.332848,-16.561362
408,-17.321667,-16.594485
409,-17.338162,-16.638002
410,-17.353232,-16.654810
411,-17.343512,-16.649060
412,-17.413199,-16.631012
413,-17.354492,-16.635818
414,-17.336288,-16.710102
415,-17.395132,-16.641839
416,-17.333351,-16.656055
417,-17.398942,-16.678817
418,-17.437251,-16.677563
419,-17.437589,-16.700301
420,-17.413369,-16.691421
421,-17.391793,-16.673858
422,-17.429208,-16.695692
423,-17.374489,-16.662008
424,-17.441435,-16.650576
425,-17.347615,-16.688804
426,-17.366481,-16.683428
427,-17.329745,-16.728117
428,-17.459405,-16.677171
429,-17.400564,-16.663872
430,-17.392217,-16.658939
431,-17.379782,-16.664896
432,-17.381244,-16.782441
433,-17.389684,-16.731508
434,-17.350714,-16.640709
435,-17.351276,-16.596396
436,-17.378166,-16.668054
437,-17.314977,-16.642807
438,-17.404969,-16.669756
439,-17.267026,-16.661632
440,-17.290729,-16.641194
441,-17.375633,-16.632959
442,-17.401670,-16.635413
443,-17.347377,-16.629915
444,-17.369428,-16.675796
445,-17.343574,-16.569272
446,-17.274017,-16.650012
447,-17.324499,-16.681440
448,-17.375786,-16.653138
449,-17.337213,-16.653522
450,-17.422540,-16.717126
451,-17.368003,-16.572392
452,-17.385069,-16.620573
453,-17.389068,-16.583475
454,-17.331580,-16.663607
455,-17.339169,-16.597226
456,-17.303115,-16.564991
457,-17.352438,-16.676457
458,-17.331269,-16.566008
459,-17.304664,-16.606869
460,-17.262413,-16.613132
461,-17.322871,-16.519028
462,-17.340070,-16.591446
463,-17.293493,-16.512462
464,-17.317155,-16.571364
465,-17.305532,-16.600165
466,-17.243593,-16.575083
467,-17.342400,-16.524399
468,-17.261784,-16.550583
469,-17.283042,-16.519607
470,-17.333825,-16.558764
471,-17.314286,-16.637072
472,-17.319491,-16.583949
473,-17.277708,-16.580232
474,-17.320145,-16.559047
475,-17.309349,-16.543082
476,-17.287565,-16.568447
477,-17.318782,-16.586262
478,-17.345268,-16.546721
479,-17.335676,-16.513595
480,-17.294010,-16.582792
481,-17.347511,-16.519069
482,-17.336155,-16.545387
483,-17.274916,-16.544612
484,-17.292955,-16.472950
485,-17.332132,-16.542637
486,-17.371456,-16.469413
487,-17.278172,-16.480161
488,-17.237308,-16.442511
489,-17.397106,-16.561567
490,-17.369233,-16.513648
491,-17.359885,-16.487416
492,-17.305410,-16.475451
493,-17.359836,-16.510667
494,-17.380955,-16.497592
495,-17.319756,-16.535983
496,-17.367965,-16.468357
497,-17.330947,-16.510292
498,-17.300814,-16.512306
499,-17.363495,-16.592480
500,-17.389639,-16.546828
501,-17.347198,-16.524322
502,-17.402207,-16.466245
503,-17.403296,-16.472117
504,-17.440680,-16.482531
505,-17.396669,-16.495871
506,-17.360548,-16.502836
507,-17.364406,-16.495359
508,-17.335340,-16.468326
509,-17.399281,-16.482031
510,-17.328877,-16.485164
511,-17.342577,-16.439882
512,-17.454670,-16.465825
513,-17.409490,-16.508315
514,-17.439392,-16.475945
515,-17.369516,-16.522332
516,-17.354205,-16.504309
517,-17.360949,-16.450915
518,-17.419808,-16.442947
519,-17.434510,-16.560402
520,-17.367725,-16.561851
521,-17.385297,-16.501861
522,-17.373928,-16.479680
523,-17.464094,-16.522389
524,-17.386782,-16.476010
525,-17.407050,-16.517194
526,-17.343773,-16.448837
527,-17.372998,-16.491528
528,-17.396198,-16.484241
529,-17.431340,-16.464797
530,-17.420163,-16.415218
531,-17.377487,-16.415950
532,-17.402444,-16.463914
533,-17.357211,-16.455642
534,-17.418693,-16.486434
535,-17.480990,-16.477866
536,-17.387021,-16.527301
537,-17.482859,-16.490830
538,-17.434922,-16.476728
539,-17.439341,-16.431332
540,-17.438720,-16.442545
541,-17.405206,-16.464652
542,-17.351958,-16.479222
543,-17.437421,-16.468347
544,-17.419602,-16.389384
545,-17.409839,-16.414560
546,-17.478456,-16.500152
547,-17.444919,-16.496569
548,-17.393072,-16.408637
549,-17.372054,-16.388750
550,-17.366234,-16.456991
551,-17.368013,-16.431276
552,-17.406791,-16.462914
553,-17.410098,-16.421141
554,-17.441030,-16.494300
555,-17.370192,-16.424818
556,-17.392604,-16.476398
557,-17.390057,-16.385544
558,-17.320558,-16.435844
559,-17.333247,-16.464104
560,-17.271411,-16.421910
561,-17.316922,-16.404253
562,-17.366902,-16.453214
563,-17.317632,-16.477513
564,-17.373893,-16.419683
565,-17.403680,-16.466396
566,-17.364433,-16.406820
567,-17.394159,-16.405005
568,-17.400193,-16.382173
569,-17.390715,-16.417089
570,-17.279292,-16.436139
571,-17.370582,-16.464564
572,-17.327868,-16.470440
573,-17.395145,-16.387607
574,-17.362936,-16.466601
575,-17.359934,-16.444658
576,-17.387235,-16.419283
577,-17.366773,-16.389381
578,-17.352983,-16.400530
579,-17.381616,-16.442649
580,-17.370018,-16.490255
581,-17.395791,-16.507454
582,-17.390745,-16.407968
583,-17.392939,-16.371862
584,-17.390217,-16.375668
585,-17.398519,-16.384979
586,-17.378599,-16.409962
587,-17.372676,-16.384211
588,-17.360784,-16.399952
589,-17.361509,-16.458051
