Epoch,beta_max/4,beta_max,4beta_max
347,-11.990767,-11.858027,-12.102677
348,-11.988833,-11.856393,-12.100982
349,-11.986301,-11.854876,-12.098696
350,-11.983355,-11.852121,-12.095856
351,-11.979952,-11.848786,-12.093477
352,-11.977142,-11.846260,-12.091257
353,-11.973532,-11.845189,-12.090303
354,-11.971443,-11.840975,-12.088177
355,-11.969374,-11.838252,-12.086261
356,-11.969142,-11.833919,-12.083713
357,-11.967573,-11.830124,-12.081591
358,-11.965433,-11.829990,-12.078888
359,-11.962039,-11.829628,-12.075360
360,-11.958865,-11.828719,-12.073850
361,-11.959139,-11.825645,-12.072746
362,-11.959245,-11.823093,-12.071844
363,-11.956290,-11.821170,-12.069563
364,-11.952881,-11.818701,-12.066853
365,-11.948894,-11.816867,-12.064014
366,-11.946014,-11.814477,-12.061449
367,-11.945160,-11.810924,-12.060001
368,-11.943544,-11.808376,-12.057031
369,-11.940229,-11.808035,-12.054689
370,-11.936198,-11.807857,-12.052712
371,-11.933510,-11.805922,-12.050384
372,-11.932329,-11.803852,-12.049848
373,-11.929945,-11.802305,-12.048201
374,-11.927200,-11.800400,-12.046546
375,-11.924191,-11.797799,-12.044814
376,-11.921559,-11.794430,-12.042010
377,-11.919137,-11.792481,-12.038924
378,-11.916665,-11.789665,-12.035939
379,-11.915360,-11.787334,-12.033788
380,-11.915037,-11.783887,-12.032638
381,-11.914703,-11.781792,-12.031110
382,-11.913070,-11.779180,-12.028870
383,-11.911250,-11.777568,-12.027141
384,-11.909781,-11.776907,-12.025709
385,-11.906582,-11.774261,-12.023923
386,-11.902638,-11.771851,-12.022047
387,-11.897997,-11.769505,-12.020511
388,-11.894522,-11.766336,-12.018758
389,-11.892115,-11.764536,-12.014798
390,-11.890539,-11.763056,-12.012797
391,-11.887818,-11.760182,-12.011142
392,-11.884474,-11.758908,-12.008627
393,-11.882554,-11.757082,-12.006652
394,-11.879011,-11.755532,-12.004346
395,-11.876753,-11.754584,-12.001612
396,-11.874694,-11.751718,-11.998071
397,-11.872855,-11.747742,-11.996633
398,-11.871298,-11.746830,-11.995672
399,-11.869667,-11.744675,-11.994437
400,-11.866963,-11.743166,-11.991995
401,-11.865185,-11.742678,-11.990642
402,-11.862640,-11.741709,-11.987750
403,-11.859806,-11.737712,-11.985192
404,-11.856795,-11.734008,-11.984459
405,-11.854624,-11.732057,-11.983153
406,-11.852685,-11.730123,-11.980280
407,-11.850358,-11.730491,-11.977163
408,-11.847419,-11.728931,-11.974136
409,-11.845812,-11.725863,-11.971697
410,-11.843792,-11.723527,-11.971416
411,-11.841954,-11.721593,-11.969370
412,-11.840778,-11.719915,-11.966995
413,-11.839858,-11.718213,-11.965620
414,-11.838707,-11.717176,-11.963780
415,-11.836620,-11.713841,-11.962459
416,-11.833127,-11.711072,-11.959517
417,-11.829607,-11.709654,-11.957957
418,-11.826892,-11.707991,-11.957744
419,-11.824597,-11.705542,-11.954947
420,-11.822119,-11.704396,-11.950258
421,-11.819738,-11.702596,-11.947768
422,-11.817590,-11.700088,-11.945971
423,-11.815667,-11.698670,-11.944488
424,-11.812426,-11.695791,-11.942577
425,-11.809871,-11.693942,-11.938666
426,-11.808205,-11.692455,-11.936592
427,-11.808186,-11.690206,-11.934280
428,-11.806841,-11.689047,-11.931464
429,-11.805040,-11.687225,-11.929451
430,-11.804738,-11.685165,-11.926504
431,-11.802390,-11.684591,-11.923739
432,-11.799826,-11.684513,-11.922064
433,-11.796133,-11.681945,-11.922444
434,-11.792192,-11.677730,-11.921979
435,-11.790772,-11.674236,-11.920903
436,-11.788665,-11.672129,-11.918569
437,-11.785206,-11.671612,-11.915068
438,-11.782481,-11.670399,-11.912879
439,-11.780945,-11.668401,-11.910971
440,-11.778755,-11.665248,-11.907933
441,-11.775890,-11.663764,-11.906744
442,-11.774651,-11.662729,-11.905741
443,-11.772686,-11.661399,-11.903505
444,-11.771227,-11.660998,-11.900774
445,-11.771019,-11.657925,-11.898184
446,-11.768472,-11.655006,-11.895848
447,-11.765623,-11.652879,-11.894623
448,-11.762283,-11.651652,-11.892337
449,-11.760579,-11.651952,-11.889630
450,-11.760039,-11.650368,-11.886618
451,-11.760333,-11.648652,-11.884044
452,-11.756692,-11.646831,-11.880116
453,-11.754652,-11.645875,-11.877758
454,-11.751367,-11.643729,-11.876476
455,-11.749118,-11.640536,-11.875670
456,-11.746716,-11.636240,-11.875090
457,-11.744285,-11.634968,-11.873048
458,-11.741297,-11.633851,-11.870765
459,-11.738943,-11.632269,-11.868613
460,-11.737270,-11.630558,-11.867456
461,-11.735791,-11.629555,-11.866520
462,-11.733927,-11.628154,-11.864571
463,-11.732137,-11.625129,-11.862755
464,-11.728915,-11.622958,-11.860974
465,-11.726961,-11.621167,-11.858509
466,-11.723985,-11.620861,-11.856898
467,-11.722024,-11.621018,-11.853259
468,-11.719768,-11.618826,-11.849674
469,-11.718105,-11.615873,-11.847851
470,-11.716175,-11.613928,-11.846674
471,-11.713618,-11.611501,-11.845569
472,-11.712480,-11.609342,-11.843003
473,-11.712220,-11.607019,-11.840712
474,-11.711931,-11.606816,-11.839376
475,-11.710253,-11.606293,-11.838384
476,-11.706494,-11.606221,-11.836705
477,-11.702954,-11.605815,-11.835882
478,-11.700426,-11.603914,-11.835043
479,-11.700321,-11.602116,-11.831828
480,-11.696608,-11.598717,-11.830135
481,-11.696734,-11.595421,-11.828038
482,-11.695739,-11.593263,-11.826543
483,-11.692820,-11.590989,-11.824241
484,-11.690359,-11.589435,-11.821610
