beta,q_v,q_h,r_v,q_v_hat,q_h_hat,r_v_hat,iter
1.0800,2.3178209910e-181,2.3178209917e-181,1.0000000000e+00,1.3517532023e-181,1.3517532020e-181,2.5000000000e-33,1.0
1.0900,1.3517532023e-181,1.3517532023e-181,1.0000000000e+00,8.0300898985e-182,8.0300898985e-182,2.5000000000e-33,1.0
1.1000,8.0300898985e-182,8.0300899007e-182,1.0000000000e+00,4.8582043899e-182,4.8582043886e-182,2.5000000000e-33,1.0
1.1100,4.8582043899e-182,4.8582043899e-182,1.0000000000e+00,2.9928968144e-182,2.9928968144e-182,2.5000000000e-33,1.0
1.1200,2.9928968144e-182,2.9928968153e-182,1.0000000000e+00,1.8771448825e-182,1.8771448820e-182,2.5000000000e-33,1.0
1.1300,1.8771448825e-182,1.8771448825e-182,1.0000000000e+00,1.1984631503e-182,1.1984631503e-182,2.5000000000e-33,1.0
1.1400,1.1984631503e-182,1.1984631506e-182,1.0000000000e+00,7.7876135525e-183,7.7876135503e-183,2.5000000000e-33,1.0
1.1500,7.7876135525e-183,7.7876135525e-183,1.0000000000e+00,5.1495594616e-183,5.1495594616e-183,2.5000000000e-33,1.0
1.1600,5.1495594616e-183,5.1495594630e-183,1.0000000000e+00,3.4646236067e-183,3.4646236057e-183,2.5000000000e-33,1.0
1.1700,3.4646236067e-183,3.4646236067e-183,1.0000000000e+00,2.3713616276e-183,2.3713616276e-183,2.5000000000e-33,1.0
1.1800,2.3713616276e-183,2.3713616283e-183,1.0000000000e+00,1.6509419656e-183,1.6509419651e-183,2.5000000000e-33,1.0
1.1900,1.6509419656e-183,1.6509419656e-183,1.0000000000e+00,1.1689494587e-183,1.1689494587e-183,2.5000000000e-33,1.0
1.2000,1.1689494587e-183,1.1689494591e-183,1.0000000000e+00,8.4164361053e-184,8.4164361029e-184,2.5000000000e-33,1.0
1.2100,8.4164361053e-184,8.4164361053e-184,1.0000000000e+00,6.1612520509e-184,6.1612520509e-184,2.5000000000e-33,1.0
1.2200,6.1612520509e-184,6.1612520526e-184,1.0000000000e+00,4.5852037775e-184,4.5852037763e-184,2.5000000000e-33,1.0
1.2300,4.5852037775e-184,4.5852037775e-184,1.0000000000e+00,3.4684773975e-184,3.4684773975e-184,2.5000000000e-33,1.0
1.2400,3.4684773975e-184,3.4684773985e-184,1.0000000000e+00,2.6665654239e-184,2.6665654232e-184,2.5000000000e-33,1.0
1.2500,2.6665654239e-184,2.6665654239e-184,1.0000000000e+00,2.0832542375e-184,2.0832542375e-184,2.5000000000e-33,1.0
1.2600,2.0832542375e-184,2.0832542380e-184,1.0000000000e+00,1.6536872141e-184,1.6536872137e-184,2.5000000000e-33,1.0
1.2700,1.6536872141e-184,1.6536872141e-184,1.0000000000e+00,1.3336160538e-184,1.3336160538e-184,2.5000000000e-33,1.0
1.2800,1.3336160538e-184,1.3336160542e-184,1.0000000000e+00,1.0924982716e-184,1.0924982713e-184,2.5000000000e-33,1.0
1.2900,1.0924982716e-184,1.0924982716e-184,1.0000000000e+00,9.0901318690e-185,9.0901318690e-185,2.5000000000e-33,1.0
1.3000,9.0901318690e-185,9.0901318715e-185,1.0000000000e+00,7.6811614314e-185,7.6811614293e-185,2.5000000000e-33,1.0
1.3100,7.6811614314e-185,7.6811614314e-185,1.0000000000e+00,6.5908205662e-185,6.5908205662e-185,2.5000000000e-33,1.0
1.3200,6.5908205662e-185,6.5908205680e-185,1.0000000000e+00,5.7419228789e-185,5.7419228773e-185,2.5000000000e-33,1.0
1.3300,5.7419228789e-185,5.7419228789e-185,1.0000000000e+00,5.0784436902e-185,5.0784436902e-185,2.5000000000e-33,1.0
1.3400,5.0784436902e-185,5.0784436916e-185,1.0000000000e+00,4.5594267463e-185,4.5594267451e-185,2.5000000000e-33,1.0
1.3500,4.5594267463e-185,4.5594267463e-185,1.0000000000e+00,4.1547776226e-185,4.1547776226e-185,2.5000000000e-33,1.0
1.3600,4.1547776226e-185,4.1547776237e-185,1.0000000000e+00,3.8423383464e-185,3.8423383454e-185,2.5000000000e-33,1.0
1.3700,3.8423383464e-185,3.8423383464e-185,1.0000000000e+00,3.6058424212e-185,3.6058424212e-185,2.5000000000e-33,1.0
1.3800,3.6058424212e-185,3.6058424222e-185,1.0000000000e+00,3.4334831544e-185,3.4334831535e-185,2.5000000000e-33,1.0
1.3900,3.4334831544e-185,3.4334831544e-185,1.0000000000e+00,3.3169164013e-185,3.3169164013e-185,2.5000000000e-33,1.0
1.4000,3.3169164013e-185,3.3169164023e-185,1.0000000000e+00,3.2505780742e-185,3.2505780733e-185,2.5000000000e-33,1.0
1.4100,3.2505780742e-185,3.2505780742e-185,1.0000000000e+00,3.2312371347e-185,3.2312371347e-185,2.5000000000e-33,1.0
1.4200,3.2312371347e-185,3.2312371356e-185,1.0000000000e+00,3.2577332801e-185,3.2577332792e-185,2.5000000000e-33,1.0
1.4300,3.2577332801e-185,3.2577332801e-185,1.0000000000e+00,3.3308693922e-185,3.3308693922e-185,2.5000000000e-33,1.0
1.4400,3.3308693922e-185,3.3308693931e-185,1.0000000000e+00,3.4534453868e-185,3.4534453858e-185,2.5000000000e-33,1.0
1.4500,3.4534453868e-185,3.4534453868e-185,1.0000000000e+00,3.6304344629e-185,3.6304344629e-185,2.5000000000e-33,1.0
1.4600,3.6304344629e-185,3.6304344639e-185,1.0000000000e+00,3.8693170516e-185,3.8693170505e-185,2.5000000000e-33,1.0
1.4700,3.8693170516e-185,3.8693170516e-185,1.0000000000e+00,4.1806036084e-185,4.1806036084e-185,2.5000000000e-33,1.0
1.4800,4.1806036084e-185,4.1806036096e-185,1.0000000000e+00,4.5785970732e-185,4.5785970719e-185,2.5000000000e-33,1.0
1.4900,4.5785970732e-185,4.5785970732e-185,1.0000000000e+00,5.0824716811e-185,5.0824716811e-185,2.5000000000e-33,1.0
1.5000,5.0824716811e-185,5.0824716825e-185,1.0000000000e+00,5.7177806428e-185,5.7177806412e-185,2.5000000000e-33,1.0
1.5100,5.7177806428e-185,5.7177806428e-185,1.0000000000e+00,6.5185558218e-185,6.5185558218e-185,2.5000000000e-33,1.0
1.5200,6.5185558218e-185,6.5185558236e-185,1.0000000000e+00,7.5302356875e-185,7.5302356854e-185,2.5000000000e-33,1.0
1.5300,7.5302356875e-185,7.5302356875e-185,1.0000000000e+00,8.8137643604e-185,8.8137643604e-185,2.5000000000e-33,1.0
1.5400,8.8137643604e-185,8.8137643628e-185,1.0000000000e+00,1.0451361781e-184,1.0451361779e-184,2.5000000000e-33,1.0
1.5500,1.0451361781e-184,1.0451361781e-184,1.0000000000e+00,1.2554698340e-184,1.2554698340e-184,2.5000000000e-33,1.0
1.5600,1.2554698340e-184,1.2554698343e-184,1.0000000000e+00,1.5276556944e-184,1.5276556940e-184,2.5000000000e-33,1.0
1.5700,1.5276556944e-184,1.5276556944e-184,1.0000000000e+00,1.8827592606e-184,1.8827592606e-184,2.5000000000e-33,1.0
1.5800,1.8827592606e-184,1.8827592611e-184,1.0000000000e+00,2.3500601097e-184,2.3500601091e-184,2.5000000000e-33,1.0
1.5900,2.3500601097e-184,2.3500601097e-184,1.0000000000e+00,2.9705934817e-184,2.9705934817e-184,2.5000000000e-33,1.0
1.6000,2.9705934817e-184,2.9705934825e-184,1.0000000000e+00,3.8023596576e-184,3.8023596566e-184,2.5000000000e-33,1.0
1.6100,3.8023596576e-184,3.8023596576e-184,1.0000000000e+00,4.9280482343e-184,4.9280482343e-184,2.5000000000e-33,1.0
1.6200,4.9280482343e-184,4.9280482356e-184,1.0000000000e+00,6.4665848948e-184,6.4665848930e-184,2.5000000000e-33,1.0
1.6300,6.4665848948e-184,6.4665848948e-184,1.0000000000e+00,8.5905347035e-184,8.5905347035e-184,2.5000000000e-33,1.0
1.6400,8.5905347035e-184,8.5905347059e-184,1.0000000000e+00,1.1552551072e-183,1.1552551069e-183,2.5000000000e-33,1.0
1.6500,1.1552551072e-183,1.1552551072e-183,1.0000000000e+00,1.5725910147e-183,1.5725910147e-183,2.5000000000e-33,1.0
1.6600,1.5725910147e-183,1.5725910152e-183,1.0000000000e+00,2.1667159007e-183,2.1667159001e-183,2.5000000000e-33,1.0
1.6700,2.1667159007e-183,2.1667159007e-183,1.0000000000e+00,3.0213769877e-183,3.0213769877e-183,2.5000000000e-33,1.0
1.6800,3.0213769877e-183,3.0213769886e-183,1.0000000000e+00,4.2637672063e-183,4.2637672051e-183,2.5000000000e-33,1.0
1.6900,4.2637672063e-183,4.2637672063e-183,1.0000000000e+00,6.0888727589e-183,6.0888727589e-183,2.5000000000e-33,1.0
1.7000,6.0888727589e-183,6.0888727606e-183,1.0000000000e+00,8.7984211391e-183,8.7984211366e-183,2.5000000000e-33,1.0
1.7100,8.7984211391e-183,8.7984211391e-183,1.0000000000e+00,1.2863731626e-182,1.2863731626e-182,2.5000000000e-33,1.0
