alpha,beta,q_v,q_h,q_v_hat,q_h_hat,chi_vh
0.5,0.9600,4.0786528928e-02,3.2923699341e-02,1.0114160438e-02,2.5059243373e-02,1.09158e-02
0.5,0.9700,4.2973665831e-02,3.4581477361e-02,1.0845904016e-02,2.6955948120e-02,1.15197e-02
0.5,0.9800,4.5393350396e-02,3.6411186869e-02,1.1656434623e-02,2.9063849147e-02,1.21607e-02
0.5,0.9900,4.8079595388e-02,3.8436726776e-02,1.2557278638e-02,3.1415207626e-02,1.28391e-02
0.5,1.0000,5.1072196971e-02,4.0685733889e-02,1.3561911296e-02,3.4048131314e-02,1.35538e-02
0.5,1.0100,5.4417636912e-02,4.3190052095e-02,1.4686057381e-02,3.7007620943e-02,1.43018e-02
0.5,1.0200,5.8170000352e-02,4.5986147486e-02,1.5947995948e-02,4.0346712244e-02,1.50777e-02
0.5,1.0300,6.2391808879e-02,4.9115379446e-02,1.7368835351e-02,4.4127646693e-02,1.58729e-02
0.5,1.0400,6.7154600954e-02,5.2623990500e-02,1.8972702708e-02,4.8422944261e-02,1.66742e-02
0.5,1.0500,7.2539000919e-02,5.6562618058e-02,2.0786762136e-02,5.3316165675e-02,1.74636e-02
0.5,1.0600,7.8633918607e-02,6.0985078053e-02,2.2840944567e-02,5.8902047298e-02,1.82170e-02
0.5,1.0700,8.5534448962e-02,6.5946150618e-02,2.5167249281e-02,6.5285593744e-02,1.89051e-02
0.5,1.0800,9.3338052140e-02,7.1498156904e-02,2.7798483404e-02,7.2579669344e-02,1.94939e-02
0.5,1.0900,1.0213880632e-01,7.7686330200e-02,3.0766376303e-02,8.0900743861e-02,1.99481e-02
0.5,1.1000,1.1201998640e-01,8.4543364843e-02,3.4099157153e-02,9.0362789033e-02,2.02351e-02
0.5,1.1100,1.2304593854e-01,9.2084036002e-02,3.7818913586e-02,1.0106993392e-01,2.03303e-02
0.5,1.1200,1.3525490202e-01,1.0030117465e-01,4.1939264492e-02,1.1310916606e-01,2.02221e-02
