alpha,c_initial,beta,epoch,mean_log_likelihood
0.5,0.001,7.36,210,-2.2388119854572377
0.5,0.001,7.36,220,-2.23440132383451
0.5,0.001,7.36,230,-2.2293193290790025
0.5,0.001,7.36,240,-2.224866839928895
0.5,0.001,7.36,250,-2.221420521653917
0.5,0.001,7.36,260,-2.2176439183227292
0.5,0.001,7.36,270,-2.214345013701673
0.5,0.001,7.36,280,-2.210789646340829
0.5,0.001,7.36,290,-2.2076395595950276
0.5,0.001,7.36,300,-2.2051707825558857
0.5,0.001,7.36,310,-2.2028050079212953
0.5,0.001,7.36,320,-2.1997196011012097
0.5,0.001,7.36,330,-2.197533267657476
0.5,0.001,7.36,340,-2.1954308755098655
0.5,0.001,7.36,350,-2.1939450791239334
0.5,0.001,7.36,360,-2.191048911261833
0.5,0.001,7.36,370,-2.1901161230475954
0.5,0.001,7.36,380,-2.1889550403029134
0.5,0.001,7.36,390,-2.18681623038627
0.5,0.001,7.36,400,-2.185806349145807
0.5,0.001,7.36,410,-2.1846327892556032
0.5,0.001,7.36,420,-2.181947179447132
0.5,0.001,7.36,430,-2.180154944039738
0.5,0.001,7.36,440,-2.1813703192181957
0.5,0.001,7.36,450,-2.1782138781086844
0.5,0.001,7.36,460,-2.176253527413848
0.5,0.001,7.36,470,-2.1771730265416043
0.5,0.001,7.36,480,-2.1748173288669044
0.5,0.001,7.36,490,-2.174175771289352
0.5,0.001,7.36,500,-2.172915679632835
0.5,0.001,7.36,510,-2.172919655098824
0.5,0.001,7.36,520,-2.1724038004577295
0.5,0.001,7.36,530,-2.1699736453555043
0.5,0.001,7.36,540,-2.170775634315685
0.5,0.001,7.36,550,-2.1709706311415333
0.5,0.001,7.36,560,-2.1691121774931137
0.5,0.001,7.36,570,-2.1688503458221855
0.5,0.001,7.36,580,-2.1674681519702164
0.5,0.001,7.36,590,-2.166659444742912
0.5,0.001,7.36,600,-2.167530520824853
0.5,0.001,7.36,610,-2.1666552603504283
0.5,0.001,7.36,620,-2.166207385096832
0.5,0.001,7.36,630,-2.16435601398791
0.5,0.001,7.36,640,-2.1643515181398785
