Epoch,beta_max/4,beta_max,4beta_max
260,-14.781696,-14.778731,-15.066503
261,-14.776963,-14.771315,-15.057036
262,-14.772398,-14.765805,-15.048455
263,-14.768944,-14.760773,-15.042156
264,-14.766401,-14.755200,-15.035470
265,-14.763871,-14.750826,-15.030200
266,-14.759537,-14.747133,-15.022478
267,-14.754606,-14.742703,-15.014933
268,-14.748569,-14.736793,-15.006005
269,-14.743790,-14.733283,-14.998269
270,-14.738245,-14.729015,-14.991491
271,-14.732810,-14.724624,-14.983579
272,-14.726126,-14.721278,-14.977425
273,-14.720678,-14.718830,-14.970045
274,-14.715958,-14.716093,-14.964783
275,-14.711284,-14.715817,-14.959668
276,-14.706172,-14.714963,-14.955530
277,-14.700814,-14.713078,-14.951320
278,-14.696567,-14.709541,-14.946219
279,-14.692567,-14.702116,-14.940419
280,-14.689332,-14.698273,-14.935034
281,-14.685886,-14.693565,-14.930093
282,-14.683924,-14.692297,-14.926927
283,-14.681639,-14.688710,-14.923076
284,-14.679118,-14.685572,-14.918658
285,-14.676461,-14.679376,-14.911994
286,-14.673460,-14.674605,-14.905410
287,-14.669360,-14.668575,-14.900182
288,-14.667746,-14.662666,-14.895071
289,-14.668009,-14.661028,-14.889170
290,-14.664792,-14.658696,-14.883063
291,-14.661268,-14.656165,-14.878632
292,-14.658609,-14.650777,-14.875265
293,-14.655531,-14.646056,-14.871923
294,-14.654695,-14.643477,-14.868163
295,-14.650918,-14.639600,-14.864100
296,-14.647706,-14.636138,-14.857575
297,-14.642608,-14.635024,-14.851749
298,-14.637653,-14.630195,-14.848024
299,-14.636049,-14.625875,-14.846620
300,-14.636427,-14.622496,-14.839058
301,-14.631037,-14.618970,-14.831796
302,-14.620617,-14.614809,-14.823296
303,-14.614828,-14.611520,-14.819586
304,-14.612902,-14.607329,-14.815826
305,-14.608222,-14.605328,-14.812664
306,-14.603173,-14.599276,-14.809729
307,-14.598688,-14.594491,-14.803976
308,-14.592320,-14.589781,-14.799675
309,-14.587499,-14.586497,-14.794449
310,-14.581496,-14.578824,-14.788657
311,-14.578015,-14.572400,-14.784158
312,-14.572489,-14.568534,-14.781701
313,-14.567720,-14.567818,-14.779526
314,-14.562737,-14.571191,-14.773386
315,-14.561425,-14.569536,-14.768008
316,-14.559965,-14.568401,-14.761812
317,-14.555757,-14.564865,-14.758425
318,-14.550038,-14.562309,-14.752831
319,-14.546988,-14.556560,-14.750483
320,-14.545959,-14.551515,-14.745970
321,-14.542831,-14.549578,-14.742418
322,-14.542219,-14.545169,-14.737889
323,-14.543231,-14.536868,-14.733668
324,-14.542610,-14.533823,-14.728922
325,-14.541460,-14.532978,-14.725645
326,-14.539851,-14.528438,-14.722775
327,-14.538640,-14.525493,-14.721474
328,-14.537142,-14.520913,-14.719353
329,-14.531582,-14.516681,-14.717858
330,-14.525102,-14.515993,-14.715671
331,-14.516876,-14.515079,-14.709404
332,-14.511827,-14.512192,-14.705697
333,-14.507826,-14.508550,-14.700099
334,-14.504744,-14.504356,-14.694835
335,-14.501722,-14.500003,-14.689855
336,-14.498994,-14.493344,-14.684503
337,-14.496926,-14.489283,-14.679283
338,-14.494935,-14.487129,-14.672199
339,-14.492893,-14.482963,-14.669447
340,-14.489879,-14.484160,-14.665456
341,-14.489760,-14.480594,-14.661008
342,-14.487259,-14.479526,-14.657075
343,-14.484770,-14.476451,-14.654849
344,-14.480848,-14.472629,-14.651265
345,-14.477901,-14.469392,-14.645768
346,-14.472449,-14.465930,-14.641919
347,-14.468573,-14.460994,-14.637779
348,-14.466864,-14.457874,-14.634303
349,-14.463960,-14.453602,-14.628256
350,-14.465464,-14.450858,-14.622024
351,-14.465159,-14.448950,-14.616658
352,-14.462821,-14.445037,-14.612624
353,-14.457209,-14.446787,-14.607292
354,-14.451675,-14.448866,-14.602874
355,-14.445973,-14.444278,-14.599890
356,-14.441768,-14.438614,-14.598568
357,-14.440738,-14.435643,-14.596933
358,-14.439034,-14.436062,-14.592283
359,-14.438994,-14.437271,-14.590109
360,-14.434510,-14.433797,-14.585535
361,-14.432699,-14.430218,-14.583341
362,-14.428563,-14.431334,-14.579904
363,-14.427190,-14.429638,-14.574656
364,-14.424836,-14.424256,-14.569700
365,-14.421410,-14.419093,-14.564782
366,-14.414959,-14.416548,-14.560695
367,-14.412251,-14.410444,-14.555728
368,-14.416877,-14.408609,-14.552910
369,-14.419384,-14.408395,-14.551575
370,-14.419301,-14.408801,-14.553172
371,-14.417293,-14.407657,-14.551596
372,-14.418696,-14.404113,-14.547674
373,-14.415779,-14.401843,-14.545076
374,-14.410903,-14.400323,-14.542075
375,-14.402918,-14.400263,-14.540136
