0.5,-0.005,0.6,1.92886e-06,0.03582,0.28098,0.03372,0.00860,1.06657,0.52957,0.03177,0.12799,0.03704
0.5,-0.005,0.7,3.73098e-06,0.05211,0.29376,0.04798,0.01702,1.09419,0.54104,0.04418,0.17872,0.04425
0.5,-0.005,0.8,6.60378e-06,0.07345,0.30923,0.06597,0.03134,1.12864,0.55439,0.05913,0.24078,0.05329
0.5,-0.005,0.9,1.08722e-05,0.10126,0.32762,0.08846,0.05468,1.17115,0.56957,0.07689,0.31621,0.06416
0.5,-0.005,1.0,1.67806e-05,0.13721,0.34906,0.11635,0.09147,1.22313,0.58643,0.09774,0.40771,0.07625
0.5,-0.005,1.1,2.43428e-05,0.18322,0.37351,0.15065,0.14780,1.28602,0.60464,0.12194,0.51870,0.08769
0.5,-0.005,1.2,3.31895e-05,0.24118,0.40061,0.19229,0.23153,1.36111,0.62370,0.14969,0.65333,0.09396
0.5,-0.005,1.3,4.25350e-05,0.31268,0.42967,0.24204,0.35228,1.44926,0.64298,0.18111,0.81641,0.08582
0.5,-0.005,1.4,5.13611e-05,0.39865,0.45970,0.30033,0.52090,1.55075,0.66177,0.21618,1.01315,0.04633
0.5,-0.005,1.5,5.87511e-05,0.49925,0.48961,0.36721,0.74887,1.66525,0.67944,0.25479,1.24894,-0.05303
0.5,-0.005,1.6,6.41607e-05,0.61394,0.51843,0.44240,1.04779,1.79197,0.69554,0.29676,1.52915,-0.25676
0.5,-0.005,1.7,6.74784e-05,0.74176,0.54542,0.52542,1.42912,1.92992,0.70981,0.34189,1.85916,-0.63052
0.5,-0.005,1.8,6.89109e-05,0.88156,0.57014,0.61575,1.90417,2.07808,0.72222,0.39000,2.24433,-1.26708
0.5,-0.005,1.9,6.88208e-05,1.03225,0.59242,0.71288,2.48429,2.23559,0.73284,0.44093,2.69015,-2.29329
0.5,-0.005,2.0,6.75983e-05,1.19291,0.61227,0.81636,3.18110,2.40173,0.74183,0.49455,3.20231,-3.87842
0.5,-0.005,2.1,6.55926e-05,1.36279,0.62983,0.92585,4.00660,2.57602,0.74939,0.55080,3.78675,-6.24407
0.5,-0.005,2.2,6.30854e-05,1.54133,0.64529,1.04107,4.97336,2.75810,0.75572,0.60961,4.44973,-9.67579
0.5,-0.005,2.3,6.02902e-05,1.72814,0.65889,1.16183,6.09456,2.94773,0.76100,0.67095,5.19784,-14.53665
0.5,-0.005,2.4,5.73617e-05,1.92292,0.67083,1.28799,7.38402,3.14479,0.76540,0.73478,6.03800,-21.28294
0.5,-0.005,2.5,5.44080e-05,2.12550,0.68133,1.41943,8.85626,3.34920,0.76907,0.80112,6.97750,-30.48214
0.5,-0.005,2.6,5.15019e-05,2.33576,0.69057,1.55609,10.52649,3.56093,0.77214,0.86994,8.02396,-42.83350
0.5,-0.005,2.7,4.86907e-05,2.55362,0.69874,1.69793,12.41061,3.77999,0.77469,0.94125,9.18536,-59.19124
0.5,-0.005,2.8,4.60031e-05,2.77906,0.70596,1.84490,14.52520,4.00639,0.77683,1.01506,10.47003,-80.59081
0.5,-0.005,2.9,4.34549e-05,3.01205,0.71237,1.99700,16.88755,4.24017,0.77863,1.09138,11.88661,-108.27825
0.5,-0.005,3.0,4.10530e-05,3.25260,0.71807,2.15422,19.51560,4.48137,0.78013,1.17020,13.44411,-143.74305
0.5,-0.005,3.1,3.87985e-05,3.50072,0.72317,2.31655,22.42797,4.73002,0.78140,1.25154,15.15184,-188.75474
0.5,-0.005,3.2,3.66884e-05,3.75644,0.72773,2.48399,25.64393,4.98617,0.78246,1.33541,17.01947,-245.40316
0.5,-0.005,3.3,3.47171e-05,4.01976,0.73183,2.65655,29.18344,5.24986,0.78336,1.42180,19.05699,-316.14366
0.5,-0.005,3.4,3.28779e-05,4.29071,0.73553,2.83423,33.06710,5.52112,0.78412,1.51075,21.27470,-403.84595
0.5,-0.005,3.5,3.11630e-05,4.56933,0.73887,3.01704,37.31616,5.79998,0.78477,1.60223,23.68324,-511.84834
0.5,-0.005,3.6,2.95644e-05,4.85562,0.74190,3.20499,41.95252,6.08648,0.78531,1.69628,26.29358,-644.01702
0.5,-0.005,3.7,2.80741e-05,5.14961,0.74465,3.39808,46.99874,6.38064,0.78578,1.79288,29.11699,-804.81068
0.5,-0.005,3.8,2.66843e-05,5.45132,0.74716,3.59632,52.47800,6.68250,0.78617,1.89205,32.16508,-999.35077
0.5,-0.005,3.9,2.53877e-05,5.76076,0.74945,3.79972,58.41415,6.99207,0.78650,1.99378,35.44977,-1233.49878
0.5,-0.005,4.0,2.41771e-05,6.07797,0.75155,4.00828,64.83169,7.30937,0.78679,2.09810,38.98333,-1513.93861
0.5,-0.005,4.1,2.30460e-05,6.40295,0.75348,4.22200,71.75571,7.63444,0.78703,2.20499,42.77830,-1848.26553
0.5,-0.005,4.2,2.19884e-05,6.73571,0.75526,4.44091,79.21200,7.96727,0.78723,2.31447,46.84758,-2245.08502
0.5,-0.005,4.3,2.09985e-05,7.07628,0.75689,4.66499,87.22694,8.30790,0.78741,2.42653,51.20436,-2714.11587
0.5,-0.005,4.4,2.00712e-05,7.42466,0.75841,4.89426,95.82760,8.65633,0.78756,2.54118,55.86218,-3266.30346
0.5,-0.005,4.5,1.92017e-05,7.78086,0.75981,5.12872,105.04165,9.01258,0.78768,2.65842,60.83488,-3913.93963
0.5,-0.005,4.6,1.83855e-05,8.14490,0.76111,5.36838,114.89742,9.37665,0.78779,2.77826,66.13663,-4670.79261
0.5,-0.005,4.7,1.76187e-05,8.51679,0.76232,5.61323,125.42386,9.74856,0.78788,2.90070,71.78190,-5552.24549
0.5,-0.005,4.8,1.68976e-05,8.89652,0.76345,5.86329,136.65057,10.12832,0.78795,3.02573,77.78550,-6575.44424
0.5,-0.005,4.9,1.62187e-05,9.28412,0.76450,6.11855,148.60779,10.51594,0.78801,3.15337,84.16254,-7759.45576
0.5,-0.005,5.0,1.55790e-05,9.67958,0.76548,6.37901,161.32640,10.91142,0.78807,3.28361,90.92847,-9125.43630
0.5,-0.005,5.1,1.49756e-05,10.08292,0.76640,6.64469,174.83790,11.31477,0.78811,3.41645,98.09904,-10696.81093
0.5,-0.005,5.2,1.44059e-05,10.49414,0.76726,6.91559,189.17444,11.72600,0.78814,3.55190,105.69032,-12499.46343
0.5,-0.005,5.3,1.38676e-05,10.91325,0.76807,7.19170,204.36881,12.14511,0.78817,3.68996,113.71872,-14561.93963
0.5,-0.005,5.4,1.33584e-05,11.34025,0.76883,7.47302,220.45442,12.57211,0.78819,3.83062,122.20094,-16915.66136
0.5,-0.005,5.5,1.28763e-05,11.77514,0.76954,7.75957,237.46535,13.00701,0.78821,3.97390,131.15401,-19595.15392
0.5,-0.005,5.6,1.24196e-05,12.21793,0.77022,8.05134,255.43629,13.44980,0.78822,4.11978,140.59529,-22638.28664
0.5,-0.005,5.7,1.19864e-05,12.66863,0.77085,8.34834,274.40257,13.90050,0.78823,4.26828,150.54244,-26086.52714
0.5,-0.005,5.8,1.15753e-05,13.12724,0.77145,8.65056,294.40017,14.35911,0.78824,4.41939,161.01344,-29985.20982
0.5,-0.005,5.9,1.11847e-05,13.59375,0.77202,8.95800,315.46568,14.82562,0.78824,4.57311,172.02661,-34383.81915
0.5,-0.005,6.0,1.08134e-05,14.06818,0.77256,9.27068,337.63637,15.30005,0.78824,4.72945,183.60057,-39336.28820
0.5,-0.005,6.1,1.04601e-05,14.55053,0.77306,9.58858,360.95010,15.78239,0.78824,4.88840,195.75425,-44901.31306
0.5,-0.010,0.1,2.78004e-09,0.00083,0.24834,0.00083,0.00001,1.00166,0.49833,0.00083,0.00334,0.02090
0.5,-0.010,0.2,5.74225e-09,0.00337,0.25085,0.00334,0.00009,1.00671,0.50084,0.00334,0.01342,0.02207
0.5,-0.010,0.3,7.78311e-08,0.00777,0.25511,0.00765,0.00047,1.01533,0.50506,0.00758,0.03046,0.02409
0.5,-0.010,0.4,3.06103e-07,0.01431,0.26122,0.01393,0.00153,1.02781,0.51101,0.01363,0.05482,0.02710
0.5,-0.010,0.5,8.31275e-07,0.02341,0.26934,0.02245,0.00390,1.04463,0.51875,0.02161,0.08705,0.03126
0.5,-0.010,0.6,1.85103e-06,0.03566,0.27966,0.03356,0.00856,1.06641,0.52833,0.03170,0.12797,0.03681
0.5,-0.010,0.7,3.62539e-06,0.05187,0.29242,0.04776,0.01694,1.09398,0.53980,0.04408,0.17868,0.04398
0.5,-0.010,0.8,6.46848e-06,0.07313,0.30787,0.06568,0.03120,1.12835,0.55317,0.05900,0.24072,0.05299
0.5,-0.010,0.9,1.07087e-05,0.10084,0.32624,0.08809,0.05445,1.17079,0.56837,0.07673,0.31611,0.06381
0.5,-0.010,1.0,1.65955e-05,0.13669,0.34768,0.11589,0.09112,1.22269,0.58526,0.09754,0.40756,0.07587
0.5,-0.010,1.1,2.41489e-05,0.18258,0.37213,0.15009,0.14728,1.28551,0.60351,0.12171,0.51849,0.08728
0.5,-0.010,1.2,3.30047e-05,0.24044,0.39926,0.19164,0.23082,1.36053,0.62262,0.14943,0.65305,0.09356
0.5,-0.010,1.3,4.23768e-05,0.31184,0.42836,0.24131,0.35134,1.44863,0.64196,0.18082,0.81606,0.08550
0.5,-0.010,1.4,5.12408e-05,0.39775,0.45845,0.29952,0.51972,1.55010,0.66082,0.21587,1.01273,0.04617
